"﻿head","tail","relation","weight"
"Attribute:Student ID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Interpretability","CALCULATES","0.94"
"Attribute:Date of birth","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Interpretability","CALCULATES","0.78"
"Attribute:Attendance record","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Relevance","CALCULATES","0.35"
"QualityDimension:Relevance","DataContext:School Information System","RELATED_TO","0.56"
"BaseMeasure:Data Inconsistency","QualityDimension:Relevance","CALCULATES","0.85"
"Attribute:Extracurricular activities","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Relevance","CALCULATES","0.81"
"Attribute:Last name","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.38"
"QualityDimension:Security","DataContext:School Information System","RELATED_TO","0.41"
"BaseMeasure:Data Entry Error","QualityDimension:Security","CALCULATES","0.76"
"BaseMeasure:Data Comparison","QualityDimension:Security","CALCULATES","0.24"
"Attribute:Courses taken","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Security","CALCULATES","0.2"
"Attribute:Student ID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.18"
"QualityDimension:Timeliness","DataContext:School Information System","RELATED_TO","0.56"
"Attribute:Student ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Timeliness","CALCULATES","0.66"
"Attribute:First name","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Timeliness","CALCULATES","0.59"
"Attribute:First name","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.69"
"Attribute:Parent/guardian contact information","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Traceability","CALCULATES","0.82"
"QualityDimension:Traceability","DataContext:School Information System","RELATED_TO","0.255"
"Attribute:Date of birth","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Traceability","CALCULATES","0.73"
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.69"
"QualityDimension:Usability","DataContext:School Information System","RELATED_TO","0.9"
"Attribute:Extracurricular activities","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.74"
"Attribute:Email","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accessibility","CALCULATES","0.9"
"QualityDimension:Accessibility","DataContext:Social Media","RELATED_TO","0.638"
"Attribute:Dislikes","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accessibility","CALCULATES","0.12"
"Attribute:Occupation","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Accessibility","CALCULATES","0.6"
"Attribute:Username","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Accessibility","CALCULATES","0.6"
"Attribute:CommentID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accessibility","CALCULATES","0.65"
"Attribute:CommentID","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Accuracy","CALCULATES","0.14"
"QualityDimension:Accuracy","DataContext:Social Media","RELATED_TO","0.661667"
"Attribute:Country","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accuracy","CALCULATES","0.9"
"Attribute:DatePosted","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Accuracy","CALCULATES","0.6"
"Attribute:DatePosted","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Accuracy","CALCULATES","0.55"
"Attribute:Occupation","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.78"
"Attribute:Password","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.57"
"Attribute:Occupation","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Availability","CALCULATES","0.7"
"QualityDimension:Availability","DataContext:Social Media","RELATED_TO","0.46"
"Attribute:Education","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Availability","CALCULATES","0.12"
"Attribute:Education","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.72"
"Attribute:Likes","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Availability","CALCULATES","0.81"
"Attribute:Username","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Availability","CALCULATES","0.97"
"Attribute:UserID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.2"
"Attribute:DateCommented","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.1"
"QualityDimension:Completeness","DataContext:Social Media","RELATED_TO","0.515"
"Attribute:DateCommented","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Completeness","CALCULATES","0.49"
"Attribute:Bio","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.3"
"Attribute:Dislikes","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Completeness","CALCULATES","0.4"
"Attribute:Occupation","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.21"
"Attribute:Password","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.83"
"Attribute:PostID","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Consistency","CALCULATES","0.99"
"QualityDimension:Consistency","DataContext:Social Media","RELATED_TO","0.675"
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.92"
"Attribute:Content","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.31"
"Attribute:DatePosted","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Consistency","CALCULATES","0.83"
"Attribute:DateOfBirth","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Correctness","CALCULATES","0.41"
"QualityDimension:Correctness","DataContext:Social Media","RELATED_TO","0.408"
"Attribute:CommentID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Correctness","CALCULATES","0.76"
"Attribute:Dislikes","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Correctness","CALCULATES","0.58"
"Attribute:Dislikes","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Correctness","CALCULATES","0.65"
"Attribute:Likes","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Correctness","CALCULATES","0.97"
"Attribute:Gender","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Currency","CALCULATES","0.18"
"QualityDimension:Currency","DataContext:Social Media","RELATED_TO","0.462"
"Attribute:Password","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Currency","CALCULATES","0.38"
"Attribute:Content","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Currency","CALCULATES","0.3"
"BaseMeasure:Outliers Detection","QualityDimension:Currency","CALCULATES","0.8"
"Attribute:DatePosted","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Currency","CALCULATES","0.24"
"Attribute:Content","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Interpretability","CALCULATES","0.87"
"QualityDimension:Interpretability","DataContext:Social Media","RELATED_TO","0.406667"
"Attribute:Gender","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Interpretability","CALCULATES","0.2"
"Attribute:Gender","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Interpretability","CALCULATES","0.86"
"Attribute:Dislikes","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Relevance","CALCULATES","0.98"
"QualityDimension:Relevance","DataContext:Social Media","RELATED_TO","0.474"
"Attribute:Likes","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Relevance","CALCULATES","0.82"
"Attribute:Password","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Relevance","CALCULATES","0.1"
"Attribute:DateCommented","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Relevance","CALCULATES","0.11"
"BaseMeasure:Cross-Field Validation","QualityDimension:Relevance","CALCULATES","0.75"
"BaseMeasure:Cross-Field Validation","QualityDimension:Security","CALCULATES","0.61"
"QualityDimension:Security","DataContext:Social Media","RELATED_TO","0.545714"
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.57"
"Attribute:CommentID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Security","CALCULATES","0.87"
"Attribute:CommentID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Security","CALCULATES","0.6"
"Attribute:Country","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Security","CALCULATES","0.36"
"BaseMeasure:Missing Values","QualityDimension:Security","CALCULATES","0.9"
"BaseMeasure:Cross-Field Validation","QualityDimension:Security","CALCULATES","0.63"
"Attribute:Occupation","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Timeliness","CALCULATES","0.53"
"QualityDimension:Timeliness","DataContext:Social Media","RELATED_TO","0.26"
"Attribute:Occupation","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Timeliness","CALCULATES","0.68"
"Attribute:Password","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Traceability","CALCULATES","0.82"
"QualityDimension:Traceability","DataContext:Social Media","RELATED_TO","0.44"
"Attribute:Password","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.15"
"Attribute:PostID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Traceability","CALCULATES","0.37"
"Attribute:Education","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Traceability","CALCULATES","0.74"
"Attribute:Gender","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Traceability","CALCULATES","0.92"
"Attribute:DatePosted","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Traceability","CALCULATES","0.87"
"Attribute:Username","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Understandability","CALCULATES","0.65"
"QualityDimension:Understandability","DataContext:Social Media","RELATED_TO","0.705"
"Attribute:PostID","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Understandability","CALCULATES","0.55"
"Attribute:Occupation","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Usability","CALCULATES","0.87"
"QualityDimension:Usability","DataContext:Social Media","RELATED_TO","0.225"
"Attribute:Likes","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.48"
"Attribute:Price","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accessibility","CALCULATES","0.74"
"QualityDimension:Accessibility","DataContext:Supply Chain","RELATED_TO","0.61"
"Attribute:Warehouse Name","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accessibility","CALCULATES","0.91"
"Attribute:Delivery Date","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Accessibility","CALCULATES","0.97"
"Attribute:Supplier ID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.86"
"QualityDimension:Accuracy","DataContext:Supply Chain","RELATED_TO","0.328"
"Attribute:Quantity","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Accuracy","CALCULATES","0.42"
"Attribute:SKU","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accuracy","CALCULATES","0.68"
"Attribute:Product Name","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accuracy","CALCULATES","0.77"
"Attribute:Product Description","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accuracy","CALCULATES","0.55"
"Attribute:Product Description","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Availability","CALCULATES","0.85"
"QualityDimension:Availability","DataContext:Supply Chain","RELATED_TO","0.51625"
"Attribute:Product ID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.42"
"Attribute:Price","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Availability","CALCULATES","0.32"
"Attribute:Product ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Availability","CALCULATES","0.9"
"Attribute:Shipping Address","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Availability","CALCULATES","0.96"
"Attribute:Quantity","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Availability","CALCULATES","0.12"
"Attribute:Transaction ID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Availability","CALCULATES","0.64"
"Attribute:Tracking Number","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Availability","CALCULATES","0.95"
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.53"
"QualityDimension:Completeness","DataContext:Supply Chain","RELATED_TO","0.59"
"Attribute:Supplier Name","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Completeness","CALCULATES","0.24"
"Attribute:Shipping Address","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Completeness","CALCULATES","0.7"
"Attribute:Customer ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Completeness","CALCULATES","0.51"
"Attribute:Customer ID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"Attribute:Product Name","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Completeness","CALCULATES","0.92"
"Attribute:Order Date","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Completeness","CALCULATES","0.78"
"Attribute:Price","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Consistency","CALCULATES","0.21"
"QualityDimension:Consistency","DataContext:Supply Chain","RELATED_TO","0.736667"
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.1"
"Attribute:Shipping Address","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Consistency","CALCULATES","0.41"
"Attribute:Customer Name","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.42"
"QualityDimension:Correctness","DataContext:Supply Chain","RELATED_TO","0.485"
"Attribute:Product Description","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.17"
"Attribute:Price","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Currency","CALCULATES","0.75"
"QualityDimension:Currency","DataContext:Supply Chain","RELATED_TO","0.57"
"Attribute:Price","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Currency","CALCULATES","0.69"
"Attribute:Customer ID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Currency","CALCULATES","0.14"
"Attribute:Product Name","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Currency","CALCULATES","0.87"
"Attribute:Shipping Address","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Interpretability","CALCULATES","0.88"
"QualityDimension:Interpretability","DataContext:Supply Chain","RELATED_TO","0.45"
"Attribute:SKU","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Interpretability","CALCULATES","0.7"
"Attribute:SKU","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Interpretability","CALCULATES","0.45"
"Attribute:Supplier ID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Interpretability","CALCULATES","0.77"
"Attribute:Transaction ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Interpretability","CALCULATES","0.2"
"Attribute:Supplier ID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Relevance","CALCULATES","0.67"
"QualityDimension:Relevance","DataContext:Supply Chain","RELATED_TO","0.803333"
"Attribute:Supplier ID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Relevance","CALCULATES","0.94"
"Attribute:Product Name","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Relevance","CALCULATES","0.47"
"BaseMeasure:Cross-Field Validation","QualityDimension:Security","CALCULATES","0.17"
"QualityDimension:Security","DataContext:Supply Chain","RELATED_TO","0.498"
"Attribute:Carrier","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Security","CALCULATES","0.7"
"Attribute:Quantity","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Security","CALCULATES","0.13"
"Attribute:Warehouse ID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Security","CALCULATES","0.85"
"Attribute:Product ID","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Security","CALCULATES","0.3"
"BaseMeasure:Null Count","QualityDimension:Timeliness","CALCULATES","0.7"
"QualityDimension:Timeliness","DataContext:Supply Chain","RELATED_TO","0.516667"
"Attribute:Customer Name","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.97"
"Attribute:Customer Name","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.35"
"Attribute:Delivery Date","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Timeliness","CALCULATES","0.51"
"Attribute:Delivery Date","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Timeliness","CALCULATES","0.89"
"Attribute:Carrier","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.84"
"BaseMeasure:Cross-Field Validation","QualityDimension:Traceability","CALCULATES","0.33"
"QualityDimension:Traceability","DataContext:Supply Chain","RELATED_TO","0.55"
"BaseMeasure:Format Validity","QualityDimension:Traceability","CALCULATES","0.11"
"Attribute:Warehouse ID","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Traceability","CALCULATES","0.3"
"BaseMeasure:Null Count","QualityDimension:Traceability","CALCULATES","0.58"
"Attribute:Quantity","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Traceability","CALCULATES","0.54"
"BaseMeasure:Missing Values","QualityDimension:Traceability","CALCULATES","0.48"
"Attribute:Product Description","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.19"
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.79"
"BaseMeasure:Missing Values","QualityDimension:Understandability","CALCULATES","0.51"
"QualityDimension:Understandability","DataContext:Supply Chain","RELATED_TO","0.65"
"BaseMeasure:Cross-Field Validation","QualityDimension:Understandability","CALCULATES","0.4"
"Attribute:Carrier","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Understandability","CALCULATES","0.32"
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.55"
"QualityDimension:Usability","DataContext:Supply Chain","RELATED_TO","0.466667"
"BaseMeasure:Range Check","QualityDimension:Usability","CALCULATES","0.7"
"Attribute:Tracking Number","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Usability","CALCULATES","0.98"
"Attribute:Comment ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accessibility","CALCULATES","0.3"
"QualityDimension:Accessibility","DataContext:Technical Blog","RELATED_TO","0.614"
"Attribute:Comment body","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accessibility","CALCULATES","0.93"
"Attribute:Category ID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Accessibility","CALCULATES","0.94"
"Attribute:Author bio","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accessibility","CALCULATES","0.86"
"Attribute:Article ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accessibility","CALCULATES","0.2"
"Attribute:Comment body","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Availability","CALCULATES","0.15"
"QualityDimension:Availability","DataContext:Technical Blog","RELATED_TO","0.545"
"Attribute:Date","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Availability","CALCULATES","0.58"
"Attribute:Date","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Completeness","CALCULATES","0.37"
"QualityDimension:Completeness","DataContext:Technical Blog","RELATED_TO","0.562857"
"BaseMeasure:Data Inconsistency","QualityDimension:Completeness","CALCULATES","0.38"
"BaseMeasure:Format Validity","QualityDimension:Completeness","CALCULATES","0.38"
"Attribute:Tags","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Completeness","CALCULATES","0.1"
"Attribute:Comment date","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Completeness","CALCULATES","0.6"
"BaseMeasure:Missing Values","QualityDimension:Completeness","CALCULATES","0.94"
"BaseMeasure:Data Entry Error","QualityDimension:Completeness","CALCULATES","0.4"
"Attribute:Category name","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Consistency","CALCULATES","0.14"
"QualityDimension:Consistency","DataContext:Technical Blog","RELATED_TO","0.65"
"Attribute:Category","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Consistency","CALCULATES","0.84"
"BaseMeasure:Data Entry Error","QualityDimension:Consistency","CALCULATES","0.32"
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.68"
"Attribute:Date","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Consistency","CALCULATES","0.54"
"BaseMeasure:Data Inconsistency","QualityDimension:Correctness","CALCULATES","0.14"
"QualityDimension:Correctness","DataContext:Technical Blog","RELATED_TO","0.324"
"BaseMeasure:Null Count","QualityDimension:Correctness","CALCULATES","0.79"
"Attribute:Content","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Correctness","CALCULATES","0.75"
"Attribute:Publication date","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Correctness","CALCULATES","0.48"
"BaseMeasure:Data Entry Error","QualityDimension:Correctness","CALCULATES","0.8"
"BaseMeasure:Data Entry Error","QualityDimension:Currency","CALCULATES","0.87"
"QualityDimension:Currency","DataContext:Technical Blog","RELATED_TO","0.333333"
"Attribute:Publication date","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Currency","CALCULATES","0.53"
"BaseMeasure:Duplication Check","QualityDimension:Currency","CALCULATES","0.33"
